id,name,firstmovie,year,total,movies ,img_path,series
9,Hank Pym,Ant-Man,2015,2,"Ant-Man, 	2015
Ant-Man and the Wasp, 	2018",img/hank_pym.jpg,2
49,Wasp,Ant-Man,2015,2,"Ant-Man, 	2015
Ant-Man and the Wasp, 	2018",img/wasp.jpg,3
40,Spider-Man,Captain America: Civil War,2016,5,"Captain America: Civil War, 	2016
Spider-Man: Homecoming, 	2017
Avengers: Infinity War, 	2018
Avengers: Endgame, 	2019
Spider-Man: Far from Home, 	2019",img/spider_man.jpg,0
4,Black Panther,Captain America: Civil War,2016,4,"Captain America: Civil War, 	2016
Avengers: Infinity War, 	2018
Black Panther, 	2018
Avengers: Endgame, 	2019",img/black_panther.jpg,1
8,Doctor Strange,Doctor Strange,2016,4,"Doctor Strange, 	2016
Thor: Ragnarok, 	2017
Avengers: Infinity War, 	2018
Avengers: Endgame, 	2019",img/doctor_strange.jpg,2
51,Wong,Doctor Strange,2016,3,"Doctor Strange, 	2016
Avengers: Infinity War, 	2018
Avengers: Endgame,	2019",img/wong.jpg,3
43,The Ancient One,Doctor Strange,2016,2,"Doctor Strange, 	2016
Avengers: Endgame, 	2019",img/ancient_one.jpg,4
26,Mantis,Guardians of the Galaxy: Vol. 2,2017,3,"Guardians of the Galaxy: Vol. 2, 	2017
Avengers: Infinity War, 	2018
Avengers: Endgame, 	2019",img/mantis.jpg,0
45,Valkyrie,Thor: Ragnarok,2017,3,"Thor: Ragnarok, 	2017
Avengers: Infinity War, 	2018
Avengers: Endgame, 	2019",img/valkyrie.jpg,1
18,Hela,Thor: Ragnarok,2017,1,"Thor: Ragnarok, 	2017",img/hela.jpg,2
47,Vulture,Spider-Man: Homecoming,2017,1,"Spider-Man: Homecoming, 	2017",img/vulture.jpg,3
7,Captain Marvel,Avengers: Infinity War,2018,3,"Avengers: Infinity War, 	2018
Avengers: Endgame, 	2019
Captain Marvel, 	2019",img/captain_marvel.jpg,0
25,MBaku,Avengers: Infinity War,2018,3,"Avengers: Infinity War, 	2018
Black Panther, 	2018
Avengers: Endgame, 	2019",img/mbaku.jpg,1
31,Okoye,Avengers: Infinity War,2018,3,"Avengers: Infinity War, 	2018
Black Panther, 	2018
Avengers: Endgame, 	2019",img/okoye.jpg,2
39,Shuri,Avengers: Infinity War,2018,3,"Avengers: Infinity War, 	2018
Black Panther, 	2018
Avengers: Endgame, 	2019",img/shuri.jpg,3
12,Erik Killmonger,Black Panther,2018,1,"Black Panther, 	2018",img/erik_killmonger.jpg,4
27,Nakia,Black Panther,2018,1,"Black Panther, 	2018",img/nakia.jpg,5
